	userid	topic_num	query	docno	url	query_index	click_index	usefulness_annotation
1193	1	4	哪些物品 手提行李	16214	http://www.airasia.com/tw/zh/baggage-info/cabin-baggage.page	3	0	3
1194	1	4	哪些物品必须托运	16238	http://www.uukkuu.com/v575407341/	4	0	3
1195	1	4	哪些物品必须托运	16244	http://www.mafengwo.cn/travel-news/213768.html	4	1	4
1196	4	4	手提行李限制	105	http://www.yznews.com.cn/yzwzt/ytjc/2012-05/06/content_3928324.htm	0	0	3
1197	4	4	国际航班 手提 托运 体积 重量 限制	20585	http://m.yiqifei.com/i/article/23559.html	2	0	2
1198	16	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	3
1199	16	4	飞机 托运行李限制	23368	http://www.qantas.com.au/travel/airlines/checked-baggage/global/zh_TW	1	0	2
1200	16	4	国际航班 托运行李限制	23397	http://www.airchina.com.cn/cn/baggage_service/common_checked_baggage.shtml	2	0	4
1201	16	4	国际航班 手提液体	23462	http://www.airasia.com/cn/zh/baggage-info/cabin-baggage.page	4	0	1
1202	7	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	3
1203	7	4	手提行李限制	100	http://www.virgin-atlantic.com/cn/zh_CN/travel-information/baggage/hand-baggage.html	0	1	2
1204	7	4	留美 国际航班 手提行李限制	9596	http://liuxue.xdf.cn/kunming/wzy/zx/613306.shtml	1	0	2
1205	7	4	留美 行李限制	9623	http://usa.bailitop.com/xqzn/20130819/29032.html	2	0	1
1206	7	4	留美 行李限制	9629	http://usa.bailitop.com/xqzn/20141024/35287.html	2	1	3
1207	7	4	留美 行李限制	9631	http://www.uukkuu.com/v64136422/	2	2	3
1208	7	4	留美 行李限制	9633	http://usa.bailitop.com/xqzn/20141124/35888.html	2	3	3
1209	7	4	留美 行李限制	9637	http://www.eduwo.com/usaask/218910.htm	2	4	1
1210	7	4	留美 手提行李 液体	9682	http://www.chinaliuxue.com.cn/article/n111680.html	3	0	4
1211	7	4	留美 手提行李 液体	9688	http://blog.ifeng.com/article/31882613.html	3	1	1
1212	7	4	留美 手提行李 液体	9689	http://www.chuguo.cn/News/189453.xhtml	3	2	2
1213	7	4	留美 什么必须托运	9709	http://page.renren.com/601473681/note/919747469?op=next&curTime=1387962849000	4	0	1
1214	7	4	留美 什么必须托运	9702	http://www.liuxue86.com/a/1983458.html	4	1	1
1215	7	4	留美 行李中什么必须托运	9729	http://www.liuxue86.com/topic/2301986	5	0	1
1216	19	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	4
1217	19	4	国际航班手提行李限制	14510	http://www.ksyzs.com/article/zonghe/2013-03-26/1820749.html	1	0	4
1218	19	4	国际航班手提行李 液体	14535	http://www.airasia.com/cn/zh/baggage-info/cabin-baggage.page	3	0	3
1219	19	4	国际航班托运行李 	14576	http://www.airchina.com.cn/cn/trans_conditions/917.shtml	4	0	2
1220	19	4	国际航班托运行李 	14581	http://m.yiqifei.com/i/article/23559.html	4	1	4
1221	19	4	国际航班手提行李不能带 	14634	http://www.ksyzs.com/article/zonghe/2013-03-26/1824252.html	5	0	2
1222	19	4	国际航班手提行李不能带 	14645	http://www.pintour.com/info/notes/818972	5	1	3
1223	8	4	国际航班行李限制	13589	http://www.airchina.com.cn/cn/baggage_service/common_checked_baggage.shtml	1	0	2
1224	8	4	国际航班行李限制	13591	http://liuxue.xdf.cn/kunming/wzy/zx/672978.shtml	1	1	2
1225	8	4	国际航班行李限制统一规定	13609	http://www.ksyzs.com/article/zonghe/2011-01-24/5707.html	2	0	4
1226	8	4	国际航班手提行李可携带液体数	13633	http://www.ksyzs.com/article/zonghe/2012-06-03/1303240.html	3	0	3
1227	8	4	国际航班手提行李可携带液体	13656	http://weibo.sheng-huo.org/wb-fgthgdcf.htm	4	0	4
1228	3	4	手提行李限制	101	http://www.britishairways.com/zh-cn/information/baggage-essentials/hand-baggage-allowances	0	0	2
1229	3	4	手提行李限制	105	http://www.yznews.com.cn/yzwzt/ytjc/2012-05/06/content_3928324.htm	0	1	3
1230	3	4	手提行李限制	100	http://www.virgin-atlantic.com/cn/zh_CN/travel-information/baggage/hand-baggage.html	0	2	1
1231	3	4	手提行李限制	101	http://www.britishairways.com/zh-cn/information/baggage-essentials/hand-baggage-allowances	0	3	1
1232	3	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	4	2
1233	3	4	手提行李限制 国际航班	2630	http://m.yiqifei.com/i/article/23559.html	1	0	4
1234	3	4	手提行李液体 国际航班	2658	http://www.51766.com/xinwen/11003/1100332558.html	2	0	1
1235	3	4	手提行李液体 国际航班	2661	http://www.ksyzs.com/article/zonghe/2012-06-03/1303240.html	2	1	1
1236	3	4	手提行李液体 	2690	http://www.lufthansa.com/cn/mi/Liquids-in-hand-luggage	3	0	4
1237	23	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	2
1238	23	4	手提行李限制	105	http://www.yznews.com.cn/yzwzt/ytjc/2012-05/06/content_3928324.htm	0	1	1
1239	23	4	国际航班中有关行李的规定	23694	http://www.airchina.com.cn/cn/baggage_service/common_checked_baggage.shtml	1	0	4
1240	23	4	国际航班中有关行李的规定	23695	http://www.ksyzs.com/article/zonghe/2012-06-03/1303240.html	1	1	2
1241	23	4	国际航班中有关行李的规定	23699	http://www.zhgl.com/tourmall/line/10036.htm	1	2	3
1242	23	4	国际航班中有关行李的规定	23696	http://bctravel.fullboon.com/baggage.html	1	3	2
1243	23	4	国际航班中哪些行李必须托运	23725	http://www.airchina.com.cn/cn/baggage_service/checked_in.shtml	2	0	3
1244	23	4	国际航班中哪些行李必须手提	23760	http://www.zhgl.com/tourmall/line/10036.htm	3	0	3
1245	23	4	国际航班中乘客可以携带多少液体	23821	http://zhuangshi.hui-chao.com/jiaju_63254273.htm	4	0	2
1246	13	4	手提行李限制	99	http://www.cathaypacific.com/cx/zh_HK/travel-information/baggage/carry-on-baggage.html	0	0	4
1247	13	4	手提行李限制	102	http://www.airasia.com/cn/zh/baggage-info/cabin-baggage.page	0	1	1
1248	13	4	手提行李限制	103	http://aizhishi.org/guo-tai-shou-di-hang-li-xian-zhi.html	0	2	1
1249	13	4	那些行李必须手提	24688	http://www.hkexpress.com/zh-cn/learn/baggageguide/carryonbaggage.aspx	1	0	1
1250	13	4	那些行李必须手提	24697	http://www.britishairways.com/zh-cn/information/baggage-essentials/hand-baggage-allowances	1	1	4
1251	5	4	国际航班行李	21506	http://liuxue.xdf.cn/kunming/wzy/zx/672978.shtml	1	0	4
1252	5	4	到美国的国际航班行李	21535	http://www.pintour.com/focus/512839	3	0	1
1253	5	4	到美国的国际航班行李	21538	http://weibo.sheng-huo.org/wb-fthhrdtv.htm	3	1	2
1254	5	4	国际航班手提行李能带多少液体	21565	http://kuaidi.ping-jia.net/wenti-kbaihkgii.htm	5	0	4
1255	22	4	国际航班 手提行李限制	11811	http://www.ksyzs.com/article/zonghe/2013-03-26/1820749.html	1	0	4
1256	22	4	国际航班 手提行李限制	11810	http://www.airasia.com/cn/zh/baggage-info/cabin-baggage.page	1	1	3
1257	22	4	国际航班 手提行李限制	11812	http://m.yiqifei.com/i/article/23559.html	1	2	2
